"﻿Date","Open","High","Low","Close","Volume","Code"
"23-May-11",329.97,335.98,329.42,334.4,13661031,"AAPL"
"20-May-11",339.56,340.95,335.02,335.22,12078244,"AAPL"
"19-May-11",342.08,342.41,338.67,340.53,9327330,"AAPL"
"18-May-11",336.47,341.05,336,339.87,11956181,"AAPL"
"17-May-11",332,336.14,330.73,336.14,16170951,"AAPL"
"16-May-11",339.2,341.22,332.6,333.3,16076482,"AAPL"
"13-May-11",345.66,346.25,340.35,340.5,11649708,"AAPL"
"12-May-11",346.12,347.12,342.27,346.57,11462799,"AAPL"
"11-May-11",349.02,350,345.24,347.23,12002669,"AAPL"
"10-May-11",348.89,349.69,346.66,349.45,10074567,"AAPL"
"9-May-11",347.86,349.2,346.53,347.6,7312593,"AAPL"
"6-May-11",349.69,350,346.21,346.66,10008755,"AAPL"
"5-May-11",348.4,350.95,346.05,346.75,12009336,"AAPL"
"4-May-11",348.26,351.83,321.87,349.57,13901747,"AAPL"
"3-May-11",347.99,349.89,345.62,348.2,11198607,"AAPL"
"2-May-11",349.74,350.47,345.5,346.28,15811178,"AAPL"
"29-Apr-11",346.78,353.95,346.67,350.13,35940847,"AAPL"
"28-Apr-11",346.19,349.75,345.52,346.75,12899589,"AAPL"
"27-Apr-11",352.24,352.35,347.1,350.15,12721841,"AAPL"
"26-Apr-11",353.62,354.99,349.35,350.42,12057235,"AAPL"
"25-Apr-11",350.34,353.75,350.3,353.01,9519470,"AAPL"
"21-Apr-11",350.7,350.7,350.7,350.7,0,"AAPL"
"20-Apr-11",343.51,345.75,341.5,342.41,25023406,"AAPL"
"19-Apr-11",333.1,337.98,331.71,337.86,14977749,"AAPL"
"18-Apr-11",326.1,332.23,320.16,331.85,21782061,"AAPL"
"15-Apr-11",333.3,333.64,326.8,327.46,16208321,"AAPL"
"14-Apr-11",334.8,336,332.06,332.42,10785343,"AAPL"
"13-Apr-11",335.02,336.14,332.52,336.13,12372709,"AAPL"
"12-Apr-11",330.49,333.73,330.2,332.4,15232440,"AAPL"
"11-Apr-11",334.06,335.67,330.02,330.8,14255374,"AAPL"
"8-Apr-11",339.92,340.15,333.95,335.06,13483331,"AAPL"
"7-Apr-11",338.1,340.43,336.03,338.08,13337360,"AAPL"
"6-Apr-11",341.22,343.9,337.14,338.04,14376383,"AAPL"
"5-Apr-11",336.99,342.25,336,338.89,17248687,"AAPL"
"4-Apr-11",344.31,344.6,338.4,341.19,16431506,"AAPL"
"1-Apr-11",351.11,351.59,343.3,344.56,14952200,"AAPL"
"31-Mar-11",346.36,349.8,346.06,348.51,9798858,"AAPL"
"30-Mar-11",350.64,350.88,347.44,348.63,11764467,"AAPL"
"29-Mar-11",347.66,350.96,346.06,350.96,12603565,"AAPL"
"28-Mar-11",353.15,354.32,350.44,350.44,11048201,"AAPL"
"25-Mar-11",348.07,352.06,347.02,351.54,16041828,"AAPL"
"24-Mar-11",341.85,346,338.86,344.97,14453960,"AAPL"
"23-Mar-11",339.28,340.22,335.95,339.19,13321214,"AAPL"
"22-Mar-11",342.56,342.62,339.14,341.2,11651166,"AAPL"
"21-Mar-11",335.99,339.74,335.26,339.3,14621080,"AAPL"
"18-Mar-11",337.13,338.2,330,330.67,26900372,"AAPL"
"17-Mar-11",336.83,339.61,330.66,334.64,23550711,"AAPL"
"16-Mar-11",342,343,326.26,330.01,41312518,"AAPL"
"15-Mar-11",342.1,347.84,340.1,345.43,25735619,"AAPL"
"14-Mar-11",353.18,356.48,351.31,353.56,15587670,"AAPL"
"11-Mar-11",345.33,352.32,345,351.99,16824288,"AAPL"
"10-Mar-11",349.12,349.77,344.9,346.67,18138865,"AAPL"
"9-Mar-11",354.69,354.76,350.6,352.47,16192719,"AAPL"
"8-Mar-11",354.91,357.4,352.25,355.76,12725565,"AAPL"
"7-Mar-11",361.4,361.67,351.31,355.36,19504307,"AAPL"
"4-Mar-11",360.07,360.29,357.75,360,16188069,"AAPL"
"3-Mar-11",357.19,359.79,355.92,359.56,17885252,"AAPL"
"2-Mar-11",349.96,354.35,348.4,352.12,21521027,"AAPL"
"1-Mar-11",355.47,355.72,347.68,349.31,16290309,"AAPL"
"28-Feb-11",351.24,355.05,351.12,353.21,14395497,"AAPL"
"25-Feb-11",345.26,348.43,344.8,348.16,13572069,"AAPL"
"24-Feb-11",344.02,345.15,338.37,342.88,17853502,"AAPL"
"23-Feb-11",338.77,344.64,338.61,342.62,23994706,"AAPL"
"22-Feb-11",342.15,345.4,337.72,338.61,31162223,"AAPL"
"18-Feb-11",350.56,350.56,350.56,350.56,0,"AAPL"
"17-Feb-11",357.25,360.27,356.52,358.3,18949072,"AAPL"
"16-Feb-11",360.8,364.9,360.5,363.13,17184119,"AAPL"
"15-Feb-11",359.19,359.97,357.55,359.9,10149063,"AAPL"
"14-Feb-11",356.79,359.48,356.71,359.18,11086213,"AAPL"
