"﻿Date","Open","High","Low","Close","Volume","Code"
"23-May-11",195.56,197.29,192.02,196.22,4230523,"AMZN"
"20-May-11",197.95,199.8,197.24,198.65,3382021,"AMZN"
"19-May-11",198.33,199.95,197.55,198.8,3702622,"AMZN"
"18-May-11",194.13,198.28,193.25,197.09,4958993,"AMZN"
"17-May-11",191.82,195.98,191.76,194.81,7077636,"AMZN"
"16-May-11",200.54,200.9,191.37,192.51,9389688,"AMZN"
"13-May-11",205.7,206.39,202.36,202.56,4126181,"AMZN"
"12-May-11",204.22,206.19,200.62,206.07,4820690,"AMZN"
"11-May-11",203.12,205.5,202.25,204.38,4813424,"AMZN"
"10-May-11",201.94,205.29,201.56,203.94,5891767,"AMZN"
"9-May-11",198.34,202.36,196.78,200.8,5826058,"AMZN"
"6-May-11",199.1,199.56,196.56,197.6,4017937,"AMZN"
"5-May-11",198.66,201,196.12,197.11,4638222,"AMZN"
"4-May-11",198.25,201.86,195.37,199.97,6551399,"AMZN"
"3-May-11",201,202.59,196.69,198.45,6053289,"AMZN"
"2-May-11",196.57,203.42,196.18,201.19,9399303,"AMZN"
"29-Apr-11",194.38,196.59,193.78,195.81,6640873,"AMZN"
"28-Apr-11",195.96,196.79,192.27,195.07,7277475,"AMZN"
"27-Apr-11",183.2,197.8,182.75,196.63,23622949,"AMZN"
"26-Apr-11",186.27,186.42,180.74,182.3,11240571,"AMZN"
"25-Apr-11",185.65,186.35,183.77,185.42,3439714,"AMZN"
"21-Apr-11",185.89,185.89,185.89,185.89,0,"AMZN"
"20-Apr-11",181.62,185,181.59,183.87,4068097,"AMZN"
"19-Apr-11",178.35,179.47,176.6,178.82,2647483,"AMZN"
"18-Apr-11",178.38,178.91,175.37,178.34,4617288,"AMZN"
"15-Apr-11",181,181.78,179.02,180.01,4272899,"AMZN"
"14-Apr-11",181.39,182.08,179.36,181.82,3589689,"AMZN"
"13-Apr-11",180.83,182.88,179.8,182.29,4228310,"AMZN"
"12-Apr-11",183.06,184.59,179.42,180.48,5340273,"AMZN"
"11-Apr-11",184.86,186.49,181.85,184.04,3297828,"AMZN"
"8-Apr-11",185.26,186.22,182.78,184.71,3727206,"AMZN"
"7-Apr-11",182.78,185.17,181.76,184.91,4565547,"AMZN"
"6-Apr-11",186.15,188.27,181.12,182.76,5431265,"AMZN"
"5-Apr-11",182.1,186.36,181.8,185.29,5570058,"AMZN"
"4-Apr-11",180.89,183.61,180.69,182.94,4189692,"AMZN"
"1-Apr-11",181.58,183.25,178.59,180.13,5686427,"AMZN"
"31-Mar-11",179.31,181.57,178.5,180.13,4828345,"AMZN"
"30-Mar-11",177.78,181.16,177.66,179.42,6860586,"AMZN"
"29-Mar-11",170.73,174.84,170.07,174.62,4887443,"AMZN"
"28-Mar-11",171.8,172.5,169.25,169.35,3400936,"AMZN"
"25-Mar-11",171.64,173.49,170.3,170.98,4294302,"AMZN"
"24-Mar-11",168.21,172,167.36,171.1,6286823,"AMZN"
"23-Mar-11",162.3,166.26,160.82,165.32,4723630,"AMZN"
"22-Mar-11",164.07,164.44,162.25,162.6,3612926,"AMZN"
"21-Mar-11",163.37,165.79,161.72,164.52,4055811,"AMZN"
"18-Mar-11",161.19,163.54,160.59,161.82,7449926,"AMZN"
"17-Mar-11",165.91,166.3,160.78,160.97,6472880,"AMZN"
"16-Mar-11",164.7,168.14,162.87,164.7,5214642,"AMZN"
"15-Mar-11",161.39,166.88,160.76,165.08,4937326,"AMZN"
"14-Mar-11",166.6,168.08,164.57,166.73,4023987,"AMZN"
"11-Mar-11",165.5,169.2,164.12,168.07,4607082,"AMZN"
"10-Mar-11",167.07,168.47,164.82,166.14,6000454,"AMZN"
"9-Mar-11",166.67,169.75,163.9,169.05,7109627,"AMZN"
"8-Mar-11",169.39,169.71,166.72,166.89,4223893,"AMZN"
"7-Mar-11",171.92,172.09,166.24,169.08,5933430,"AMZN"
"4-Mar-11",172.62,172.75,169.51,171.67,4924495,"AMZN"
