"﻿Date","Open","High","Low","Close","Volume","Code"
"23-May-11",516.6,520,513.4,518.39,2252638,"GOOG"
"20-May-11",531.8,531.99,523.13,524.03,2318873,"GOOG"
"19-May-11",532.73,536.54,529.72,531.25,2471136,"GOOG"
"18-May-11",529.54,530.33,525.7,529.81,1954293,"GOOG"
"17-May-11",515.43,531.22,515.03,530.46,3304874,"GOOG"
"16-May-11",526.31,527.27,516.4,518.42,2956554,"GOOG"
"13-May-11",534.61,535.92,529.05,529.55,2107641,"GOOG"
"12-May-11",535.24,536.94,530.91,535.05,1448203,"GOOG"
"11-May-11",540.14,543.55,533.69,535.45,2338875,"GOOG"
"10-May-11",540,544.43,537.54,542.66,2041355,"GOOG"
"9-May-11",535,538.49,531.1,537.68,1947419,"GOOG"
"6-May-11",538.15,541.46,535.18,535.3,2056186,"GOOG"
"5-May-11",533.86,539.42,531.5,534.27,1997054,"GOOG"
"4-May-11",535.17,539,533.02,535.79,2116955,"GOOG"
"3-May-11",537.13,542.01,529.63,533.89,2081574,"GOOG"
"2-May-11",545.7,545.73,537.12,538.56,2133972,"GOOG"
"29-Apr-11",540,544.1,538.51,544.1,4228467,"GOOG"
"28-Apr-11",538.06,539.25,534.08,537.97,2037378,"GOOG"
"27-Apr-11",538,538.11,534.35,537.76,2297840,"GOOG"
"26-Apr-11",526.52,537.44,525.21,532.82,3530591,"GOOG"
"25-Apr-11",525.25,527,522.01,525.05,1629933,"GOOG"
"21-Apr-11",525.1,525.1,525.1,525.1,0,"GOOG"
"20-Apr-11",525.9,526.82,521.39,525.73,3059160,"GOOG"
"19-Apr-11",529.95,530.88,520.9,521.53,2685395,"GOOG"
"18-Apr-11",526.42,527.66,519,526.84,5041089,"GOOG"
"15-Apr-11",545.29,545.75,530.06,530.7,14050013,"GOOG"
"14-Apr-11",575.19,579.45,572.1,578.51,5456289,"GOOG"
"13-Apr-11",575.51,577.6,571.75,576.28,2071646,"GOOG"
"12-Apr-11",575,576.92,568.05,570.61,2085766,"GOOG"
"11-Apr-11",576.2,578.1,573,577.37,1858382,"GOOG"
"8-Apr-11",584.89,584.89,578.06,578.16,1902581,"GOOG"
"7-Apr-11",575.73,580.64,574.19,580,2531975,"GOOG"
"6-Apr-11",572.18,575.16,568,574.18,2668385,"GOOG"
"5-Apr-11",581.08,581.49,565.68,569.09,6048187,"GOOG"
"4-Apr-11",593,594.74,583.1,587.68,2054817,"GOOG"
"1-Apr-11",588.76,595.19,588.76,591.8,2613266,"GOOG"
"31-Mar-11",583,588.16,581.74,586.76,2031385,"GOOG"
"30-Mar-11",584.38,585.5,580.58,581.84,1422475,"GOOG"
"29-Mar-11",576,581.89,573.01,581.73,1605138,"GOOG"
"28-Mar-11",582.07,584.99,574.71,575.36,2218910,"GOOG"
"25-Mar-11",586.88,586.91,579.24,579.74,2859497,"GOOG"
"24-Mar-11",585.43,588.39,578.8,586.89,2097978,"GOOG"
