"﻿Date","Open","High","Low","Close","Volume","Code"
"23-May-11",24.21,24.25,24.03,24.17,52703425,"MSFT"
"20-May-11",24.72,24.87,24.44,24.49,45451462,"MSFT"
"19-May-11",24.85,24.88,24.5,24.72,37783590,"MSFT"
"18-May-11",24.53,24.74,24.25,24.69,53931025,"MSFT"
"17-May-11",24.4,24.7,24.27,24.52,82894458,"MSFT"
"16-May-11",24.96,25.07,24.5,24.57,91402408,"MSFT"
"13-May-11",25.28,25.32,24.95,25.03,66819290,"MSFT"
"12-May-11",25.35,25.39,25.1,25.32,77366952,"MSFT"
"11-May-11",25.65,25.66,25.21,25.36,78604669,"MSFT"
"10-May-11",25.38,25.85,25.25,25.67,120806139,"MSFT"
"9-May-11",25.8,25.96,25.67,25.83,38696376,"MSFT"
"6-May-11",26.07,26.22,25.75,25.87,55993642,"MSFT"
"5-May-11",26.05,26.08,25.68,25.79,55626793,"MSFT"
"4-May-11",25.85,26.25,25.79,26.06,73292270,"MSFT"
"3-May-11",25.6,25.85,25.49,25.81,71909361,"MSFT"
"2-May-11",25.94,26,25.48,25.66,89834099,"MSFT"
"29-Apr-11",26.55,26.64,25.36,25.92,319317852,"MSFT"
"28-Apr-11",26.46,26.87,26.4,26.71,80158577,"MSFT"
"27-Apr-11",26.3,26.39,26.13,26.38,52688981,"MSFT"
"26-Apr-11",25.74,26.44,25.67,26.19,69199457,"MSFT"
"25-Apr-11",25.56,25.62,25.34,25.61,33525057,"MSFT"
"21-Apr-11",25.52,25.52,25.52,25.52,0,"MSFT"
"20-Apr-11",25.54,26,25.51,25.76,61608587,"MSFT"
"19-Apr-11",25,25.17,24.87,25.15,38892333,"MSFT"
"18-Apr-11",25.1,25.28,24.72,25.08,58046281,"MSFT"
"15-Apr-11",25.46,25.56,25.18,25.37,65080348,"MSFT"
"14-Apr-11",25.42,25.44,25.09,25.42,55245529,"MSFT"
"13-Apr-11",25.65,25.87,25.56,25.63,38144621,"MSFT"
"12-Apr-11",25.83,25.85,25.55,25.64,36936975,"MSFT"
"11-Apr-11",26.19,26.25,25.8,25.98,34286211,"MSFT"
"8-Apr-11",26.17,26.28,25.96,26.07,39890629,"MSFT"
"7-Apr-11",26.19,26.26,25.97,26.2,46134637,"MSFT"
"6-Apr-11",25.98,26.31,25.86,26.15,65589617,"MSFT"
"5-Apr-11",25.82,26.18,25.74,25.78,73693937,"MSFT"
"4-Apr-11",25.45,25.66,25.41,25.55,35441052,"MSFT"
"1-Apr-11",25.53,25.53,25.31,25.48,63114201,"MSFT"
"31-Mar-11",25.6,25.68,25.34,25.39,63281785,"MSFT"
"30-Mar-11",25.6,25.72,25.5,25.61,42000178,"MSFT"
"29-Mar-11",25.34,25.52,25.3,25.49,40772423,"MSFT"
"28-Mar-11",25.66,25.72,25.38,25.41,48975380,"MSFT"
"25-Mar-11",25.93,25.95,25.59,25.62,57031023,"MSFT"
"24-Mar-11",25.6,25.87,25.5,25.81,38696661,"MSFT"
"23-Mar-11",25.23,25.61,25.18,25.54,44018832,"MSFT"
"22-Mar-11",25.3,25.46,25.23,25.3,30903641,"MSFT"
"21-Mar-11",25.18,25.58,25.15,25.33,46895059,"MSFT"
"18-Mar-11",25.06,25.18,24.8,24.8,85486688,"MSFT"
"17-Mar-11",25.06,25.22,24.75,24.78,62506557,"MSFT"
"16-Mar-11",25.22,25.28,24.68,24.79,100718988,"MSFT"
"15-Mar-11",25.08,25.47,25,25.39,76047451,"MSFT"
"14-Mar-11",25.49,25.76,25.35,25.69,54456558,"MSFT"
"11-Mar-11",25.41,25.85,25.36,25.68,49906849,"MSFT"
"10-Mar-11",25.62,25.71,25.35,25.41,66557502,"MSFT"
"9-Mar-11",25.81,25.98,25.66,25.89,39792379,"MSFT"
"8-Mar-11",25.77,26.02,25.65,25.91,50555383,"MSFT"
"7-Mar-11",26.13,26.27,25.55,25.72,64987131,"MSFT"
"4-Mar-11",26.22,26.24,25.8,25.95,70437154,"MSFT"
"3-Mar-11",26.26,26.4,26.18,26.2,68271500,"MSFT"
"2-Mar-11",26.11,26.37,26.04,26.08,48658193,"MSFT"
"1-Mar-11",26.6,26.78,26.15,26.16,60054986,"MSFT"
"28-Feb-11",26.69,26.86,26.51,26.58,51379675,"MSFT"
"25-Feb-11",26.91,26.95,26.5,26.55,53006263,"MSFT"
"24-Feb-11",26.64,27.06,26.5,26.77,64499005,"MSFT"
"23-Feb-11",26.53,26.86,26.43,26.59,60234083,"MSFT"
"22-Feb-11",26.78,27.1,26.52,26.59,60888998,"MSFT"
"18-Feb-11",27.06,27.06,27.06,27.06,0,"MSFT"
"17-Feb-11",26.97,27.37,26.91,27.21,57211558,"MSFT"
"16-Feb-11",27.05,27.07,26.6,27.02,70817867,"MSFT"
"15-Feb-11",27.04,27.33,26.95,26.96,44120592,"MSFT"
"14-Feb-11",27.2,27.27,26.95,27.23,56766112,"MSFT"
"11-Feb-11",27.76,27.81,27.07,27.25,83939643,"MSFT"
"10-Feb-11",27.93,27.94,27.29,27.5,76672349,"MSFT"
"9-Feb-11",28.19,28.26,27.91,27.97,52905018,"MSFT"
"8-Feb-11",28.1,28.34,28.05,28.28,34910467,"MSFT"
"7-Feb-11",27.8,28.34,27.79,28.2,68980871,"MSFT"
"4-Feb-11",27.7,27.84,27.51,27.77,40416627,"MSFT"
"3-Feb-11",27.96,27.97,27.54,27.65,60340059,"MSFT"
"2-Feb-11",27.93,28.11,27.88,27.94,45836488,"MSFT"
"1-Feb-11",27.8,28.06,27.61,27.99,62810661,"MSFT"
"31-Jan-11",27.77,27.9,27.42,27.72,65028938,"MSFT"
"28-Jan-11",28.9,28.93,27.45,27.75,141259158,"MSFT"
"27-Jan-11",28.75,29.46,28.49,28.87,146938589,"MSFT"
"26-Jan-11",28.51,28.99,28.5,28.78,74628760,"MSFT"
"25-Jan-11",28.14,28.45,28.12,28.45,42436532,"MSFT"
"24-Jan-11",28.02,28.56,27.99,28.38,52055812,"MSFT"
"21-Jan-11",28.4,28.43,28.02,28.02,58080269,"MSFT"
"20-Jan-11",28.5,28.55,28.13,28.35,58621931,"MSFT"
"19-Jan-11",28.46,28.68,28.27,28.47,50005830,"MSFT"
"18-Jan-11",28.16,28.74,28.14,28.66,53332616,"MSFT"
"14-Jan-11",28.3,28.3,28.3,28.3,0,"MSFT"
"13-Jan-11",28.33,28.39,28.01,28.19,67082768,"MSFT"
"12-Jan-11",28.12,28.59,28.07,28.55,52636699,"MSFT"
"11-Jan-11",28.2,28.25,28.05,28.11,50308414,"MSFT"
"10-Jan-11",28.26,28.4,28.04,28.22,57573450,"MSFT"
"7-Jan-11",28.64,28.74,28.25,28.6,73761979,"MSFT"
"6-Jan-11",28.04,28.85,27.86,28.82,88026271,"MSFT"
"5-Jan-11",27.9,28.01,27.77,28,58998239,"MSFT"
"4-Jan-11",27.94,28.17,27.85,28.09,54409555,"MSFT"
"3-Jan-11",28.05,28.18,27.92,27.98,53450110,"MSFT"
"31-Dec-10",27.8,27.92,27.63,27.91,24791329,"MSFT"
"30-Dec-10",27.92,28,27.78,27.85,20790442,"MSFT"
"29-Dec-10",27.94,28.12,27.88,27.97,19505935,"MSFT"
"28-Dec-10",27.97,28.17,27.96,28.01,23049217,"MSFT"
"27-Dec-10",28.12,28.2,27.88,28.07,21654880,"MSFT"
"23-Dec-10",28.3,28.3,28.3,28.3,0,"MSFT"
"22-Dec-10",28.01,28.4,27.98,28.19,42255763,"MSFT"
"21-Dec-10",27.85,28.14,27.76,28.07,38152996,"MSFT"
"20-Dec-10",27.95,27.99,27.68,27.81,52810910,"MSFT"
"17-Dec-10",27.92,28.09,27.75,27.9,87456444,"MSFT"
"16-Dec-10",27.76,27.99,27.66,27.99,57680104,"MSFT"
"15-Dec-10",27.53,27.99,27.53,27.85,69634200,"MSFT"
"14-Dec-10",27.31,27.75,27.26,27.62,64095005,"MSFT"
"13-Dec-10",27.27,27.45,27.17,27.24,47943855,"MSFT"
"10-Dec-10",27.19,27.4,27.11,27.34,37629009,"MSFT"
"9-Dec-10",27.28,27.34,27.01,27.08,47148284,"MSFT"
"8-Dec-10",26.83,27.24,26.8,27.23,41666716,"MSFT"
"7-Dec-10",27.08,27.13,26.85,26.87,57860447,"MSFT"
"6-Dec-10",26.93,26.98,26.76,26.84,36273877,"MSFT"
"3-Dec-10",26.81,27.06,26.78,27.02,52621910,"MSFT"
"2-Dec-10",26.24,26.98,26.2,26.89,91798687,"MSFT"
"1-Dec-10",25.57,26.25,25.56,26.04,74123490,"MSFT"
"30-Nov-10",25.05,25.47,25,25.26,75282094,"MSFT"
"29-Nov-10",25.19,25.42,24.93,25.31,56608148,"MSFT"
"26-Nov-10",25.21,25.41,25.17,25.25,21356527,"MSFT"
"24-Nov-10",25.37,25.37,25.37,25.37,0,"MSFT"
"23-Nov-10",25.57,25.6,25.09,25.12,69806770,"MSFT"
"22-Nov-10",25.65,25.74,25.44,25.73,53350441,"MSFT"
"19-Nov-10",25.8,25.83,25.6,25.69,52423174,"MSFT"
"18-Nov-10",25.71,26.08,25.61,25.84,59518954,"MSFT"
"17-Nov-10",25.9,25.91,25.55,25.57,58299609,"MSFT"
"16-Nov-10",26.04,26.04,25.65,25.81,65339110,"MSFT"
"15-Nov-10",26.33,26.5,26.17,26.2,51794559,"MSFT"
"12-Nov-10",26.47,26.52,26.1,26.27,64962139,"MSFT"
"11-Nov-10",26.68,26.72,26.28,26.68,62076710,"MSFT"
"10-Nov-10",27.01,27.08,26.81,26.94,52277301,"MSFT"
"9-Nov-10",26.81,27.11,26.71,26.95,58594443,"MSFT"
"8-Nov-10",26.96,27.05,26.58,26.81,71670771,"MSFT"
"5-Nov-10",27.17,27.19,26.53,26.85,110953685,"MSFT"
"4-Nov-10",27.41,27.43,27.01,27.14,93599285,"MSFT"
"3-Nov-10",27.46,27.49,26.96,27.03,110255273,"MSFT"
"2-Nov-10",27.06,27.42,27.02,27.39,54402096,"MSFT"
"1-Nov-10",26.88,27.22,26.7,26.95,61916183,"MSFT"
"29-Oct-10",27.15,27.2,26.48,26.66,114193191,"MSFT"
"28-Oct-10",26.21,26.38,25.92,26.28,80730261,"MSFT"
"27-Oct-10",25.79,26.11,25.62,26.05,64805406,"MSFT"
"26-Oct-10",25.12,25.97,25.06,25.9,69304104,"MSFT"
"25-Oct-10",25.24,25.35,25.17,25.19,50912304,"MSFT"
"22-Oct-10",25.52,25.54,25.27,25.38,25844141,"MSFT"
"21-Oct-10",25.4,25.54,25.05,25.42,50032354,"MSFT"
"20-Oct-10",25.26,25.4,25.1,25.31,56283551,"MSFT"
"19-Oct-10",25.27,25.37,24.95,25.1,66150875,"MSFT"
"18-Oct-10",25.59,25.95,25.45,25.82,48396780,"MSFT"
"15-Oct-10",25.36,25.55,25.23,25.54,68954747,"MSFT"
"14-Oct-10",25.29,25.34,25,25.23,51985403,"MSFT"
"13-Oct-10",25.02,25.54,24.89,25.34,75336441,"MSFT"
"12-Oct-10",24.65,24.93,24.43,24.83,50141421,"MSFT"
"11-Oct-10",24.74,24.74,24.5,24.59,27587722,"MSFT"
"8-Oct-10",24.62,24.65,24.37,24.57,41328991,"MSFT"
"7-Oct-10",24.62,24.75,24.28,24.53,50096043,"MSFT"
"6-Oct-10",24.32,24.54,24.13,24.43,50489603,"MSFT"
"5-Oct-10",24.06,24.45,23.91,24.35,78152892,"MSFT"
"4-Oct-10",23.96,23.99,23.78,23.91,98143158,"MSFT"
"1-Oct-10",24.77,24.82,24.3,24.38,62672276,"MSFT"
"30-Sep-10",24.61,24.83,24.36,24.49,61271057,"MSFT"
"29-Sep-10",24.63,24.66,24.4,24.5,44318896,"MSFT"
"28-Sep-10",24.8,24.9,24.35,24.68,56041120,"MSFT"
"27-Sep-10",24.85,24.99,24.59,24.73,43732859,"MSFT"
"24-Sep-10",24.64,24.8,24.58,24.78,51948788,"MSFT"
"23-Sep-10",24.51,24.59,24.36,24.43,46210109,"MSFT"
"22-Sep-10",24.89,24.97,24.36,24.61,94299353,"MSFT"
"21-Sep-10",25.42,25.42,25.08,25.15,52924157,"MSFT"
"20-Sep-10",25.28,25.52,25.11,25.43,49877219,"MSFT"
"17-Sep-10",25.4,25.53,25.08,25.22,70341518,"MSFT"
"16-Sep-10",25.06,25.37,25.05,25.33,44548260,"MSFT"
"15-Sep-10",25.1,25.22,24.92,25.12,56204376,"MSFT"
"14-Sep-10",25.04,25.35,24.89,25.03,87160392,"MSFT"
"13-Sep-10",24.2,25.29,24.09,25.11,114680387,"MSFT"
"10-Sep-10",23.98,24.03,23.79,23.85,58293790,"MSFT"
"9-Sep-10",24.19,24.21,23.99,24.01,46028831,"MSFT"
"8-Sep-10",24.07,24.2,23.74,23.93,65512329,"MSFT"
"7-Sep-10",24.1,24.3,23.92,23.96,51928618,"MSFT"
"6-Sep-10",24.29,24.29,24.29,24.29,0,"MSFT"
"3-Sep-10",24.29,24.29,24.29,24.29,0,"MSFT"
"2-Sep-10",23.88,23.95,23.71,23.94,48837044,"MSFT"
"1-Sep-10",23.67,23.95,23.54,23.9,65235852,"MSFT"
"31-Aug-10",23.6,23.73,23.32,23.46,66083495,"MSFT"
"30-Aug-10",23.74,23.82,23.6,23.64,45453037,"MSFT"
"27-Aug-10",23.88,23.93,23.51,23.93,60944493,"MSFT"
"26-Aug-10",24.09,24.19,23.79,23.82,49105276,"MSFT"
"25-Aug-10",24,24.22,23.87,24.1,47404767,"MSFT"
"24-Aug-10",24.09,24.35,24.02,24.04,66532358,"MSFT"
"23-Aug-10",24.44,24.56,24.24,24.28,51728126,"MSFT"
"20-Aug-10",24.31,24.4,24.2,24.23,49565732,"MSFT"
"19-Aug-10",24.62,24.74,24.21,24.44,54069035,"MSFT"
"18-Aug-10",24.68,24.95,24.41,24.82,46818826,"MSFT"
"17-Aug-10",24.71,24.96,24.6,24.71,52935026,"MSFT"
"16-Aug-10",24.36,24.61,24.3,24.5,40968392,"MSFT"
"13-Aug-10",24.35,24.67,24.25,24.4,45263430,"MSFT"
"12-Aug-10",24.42,24.61,24.4,24.49,70240460,"MSFT"
"11-Aug-10",24.68,24.9,24.56,24.86,76745824,"MSFT"
"10-Aug-10",25.33,25.34,24.88,25.07,87257683,"MSFT"
"9-Aug-10",25.55,25.73,25.37,25.61,57102542,"MSFT"
"6-Aug-10",25.18,25.56,25.02,25.55,55985489,"MSFT"
"5-Aug-10",25.49,25.58,25.21,25.37,64922012,"MSFT"
"4-Aug-10",26.15,26.24,25.44,25.73,78531804,"MSFT"
"3-Aug-10",26.2,26.35,25.97,26.16,56877663,"MSFT"
"2-Aug-10",25.99,26.38,25.75,26.33,55044515,"MSFT"
"30-Jul-10",25.75,25.84,25.35,25.81,83534777,"MSFT"
"29-Jul-10",26.13,26.41,25.6,26.03,69446188,"MSFT"
"28-Jul-10",26.07,26.19,25.83,25.95,69704731,"MSFT"
"27-Jul-10",26.14,26.24,25.96,26.16,60682484,"MSFT"
"26-Jul-10",25.86,26.2,25.8,26.1,67249812,"MSFT"
"23-Jul-10",25.84,26.02,25.25,25.81,108520012,"MSFT"
"22-Jul-10",25.51,25.99,25.47,25.84,73016369,"MSFT"
"21-Jul-10",25.6,25.65,24.98,25.12,73297593,"MSFT"
"20-Jul-10",24.86,25.48,24.7,25.48,45530162,"MSFT"
"19-Jul-10",24.96,25.3,24.91,25.23,38181760,"MSFT"
"16-Jul-10",25.51,25.64,24.88,24.89,65064760,"MSFT"
"15-Jul-10",25.5,25.59,24.98,25.51,56934631,"MSFT"
"14-Jul-10",25.5,25.61,25.12,25.44,72808022,"MSFT"
"13-Jul-10",25.14,25.3,24.9,25.13,61928666,"MSFT"
"12-Jul-10",24.43,24.89,24.42,24.83,49862201,"MSFT"
"9-Jul-10",24.33,24.41,24.15,24.27,53811348,"MSFT"
"8-Jul-10",24.6,24.62,23.97,24.41,50768072,"MSFT"
"7-Jul-10",23.82,24.32,23.61,24.3,81967278,"MSFT"
"6-Jul-10",23.7,24.09,23.58,23.82,73594554,"MSFT"
"5-Jul-10",23.27,23.27,23.27,23.27,0,"MSFT"
"2-Jul-10",23.27,23.27,23.27,23.27,0,"MSFT"
"1-Jul-10",23.09,23.32,22.73,23.16,92239399,"MSFT"
"30-Jun-10",23.3,23.68,22.95,23.01,81057995,"MSFT"
"29-Jun-10",24.13,24.2,23.11,23.31,119885791,"MSFT"
"28-Jun-10",24.51,24.61,24.12,24.31,73787879,"MSFT"
"25-Jun-10",25.05,25.11,24.31,24.53,156256672,"MSFT"
